---------- Low Frequencies ----------
index1 index2   freq[cm-1] 
     0     -6        -0.00 
     1     -5        -0.00 
     2     -4         0.00 
     3     -3         0.00 
     4     -2         0.00 
     5     -1         0.00 
---------- High Frequencies --------- 
     6      0      -186.30   <-- Imag 
     7      1       490.61 
     8      2       855.87 
     9      3       974.43 
    10      4      1094.05 
    11      5      1405.66 
    12      6      1497.98 
    13      7      1522.34 
    14      8      1962.46 
    15      9      3102.23 
    16     10      3192.47 
    17     11      3220.16 
-----------------------------------
