---------- Low Frequencies ----------
index1 index2   freq[cm-1] 
     0     -6        -0.00 
     1     -5        -0.00 
     2     -4        -0.00 
     3     -3        -0.00 
     4     -2         0.00 
     5     -1         0.00 
---------- High Frequencies --------- 
     6      0      -109.11   <-- Imag 
     7      1       426.13 
     8      2       484.44 
     9      3       734.35 
    10      4       763.90 
    11      5       841.21 
    12      6       968.54 
    13      7       977.99 
    14      8      1093.61 
    15      9      1248.59 
    16     10      1329.60 
    17     11      1345.59 
    18     12      1367.02 
    19     13      1420.94 
    20     14      1647.71 
    21     15      2974.27 
    22     16      3028.79 
    23     17      3047.20 
    24     18      3105.73 
    25     19      3140.18 
    26     20      3187.95 
-----------------------------------
