 ab inito points for HO2 Data: 2007/3/17. modifie le 29oct2007: th = 0.0, 180.0   
   n1 n2  n3    r(OH)       th(OOH)      r(OO)      V(MRCI) 
   1   1   1    1.000000    0.000000    1.400000  -100.00000000
   1   1   2    1.000000    0.000000    1.650000  -100.00000000
   1   1   3    1.000000    0.000000    1.900000  -100.00000000
   1   1   4    1.000000    0.000000    2.100000  -149.21910215
   1   1   5    1.000000    0.000000    2.200000  -149.41053896
   1   1   6    1.000000    0.000000    2.250000  -149.48464593
   1   1   7    1.000000    0.000000    2.300000  -149.54750603
   1   1   8    1.000000    0.000000    2.400000  -149.64652056
   1   1   9    1.000000    0.000000    2.500000  -149.71873732
   1   1  10    1.000000    0.000000    2.550000  -149.74728307
   1   1  11    1.000000    0.000000    2.600000  -149.77178903
   1   1  12    1.000000    0.000000    2.700000  -149.81099060
   1   1  13    1.000000    0.000000    2.800000  -149.84013128
   1   1  14    1.000000    0.000000    3.000000  -149.88260610
   1   1  15    1.000000    0.000000    3.250000  -149.94583333
   1   1  16    1.000000    0.000000    3.500000  -149.98361197
   1   1  17    1.000000    0.000000    3.800000  -150.01041749
   1   1  18    1.000000    0.000000    4.200000  -150.02816789
   1   1  19    1.000000    0.000000    4.800000  -150.03978995
   1   1  20    1.000000    0.000000    5.500000  -150.04260453
   1   1  21    1.000000    0.000000    6.500000  -150.04187413
   1   1  22    1.000000    0.000000    7.300000  -150.04127685
   1   1  23    1.000000    0.000000    8.000000  -150.04094711
   1   1  24    1.000000    0.000000    8.800000  -150.04072340
   1   1  25    1.000000    0.000000    9.500000  -150.04060584
   1   1  26    1.000000    0.000000   11.000000  -150.04046879
   1   1  27    1.000000    0.000000   12.500000  -150.04040552
   1   1  28    1.000000    0.000000   14.000000  -150.04030566
   1   1  29    1.000000    0.000000   16.000000  -150.04032511
   1   1  30    1.000000    0.000000   20.000000  -150.04032509
   0   0   0    0.000000    0.000000    0.000000     0.00000000
   1   2   1    1.000000   10.000000    1.400000  -100.00000000
   1   2   2    1.000000   10.000000    1.650000  -100.00000000
   1   2   3    1.000000   10.000000    1.900000  -100.00000000
   1   2   4    1.000000   10.000000    2.100000  -149.27927376
   1   2   5    1.000000   10.000000    2.200000  -149.45497996
   1   2   6    1.000000   10.000000    2.250000  -149.52347687
   1   2   7    1.000000   10.000000    2.300000  -149.58184408
   1   2   8    1.000000   10.000000    2.400000  -149.67443150
   1   2   9    1.000000   10.000000    2.500000  -149.74272434
   1   2  10    1.000000   10.000000    2.550000  -149.77001970
   1   2  11    1.000000   10.000000    2.600000  -149.79367424
   1   2  12    1.000000   10.000000    2.700000  -149.83225350
   1   2  13    1.000000   10.000000    2.800000  -149.86216091
   1   2  14    1.000000   10.000000    3.000000  -149.90640343
   1   2  15    1.000000   10.000000    3.250000  -149.95402934
   1   2  16    1.000000   10.000000    3.500000  -149.98858457
   1   2  17    1.000000   10.000000    3.800000  -150.01360182
   1   2  18    1.000000   10.000000    4.200000  -150.03069389
   1   2  19    1.000000   10.000000    4.800000  -150.04072301
   1   2  20    1.000000   10.000000    5.500000  -150.04257563
   1   2  21    1.000000   10.000000    6.500000  -150.04018955
   1   2  22    1.000000   10.000000    7.300000  -150.04020773
   1   2  23    1.000000   10.000000    8.000000  -150.04021687
   1   2  24    1.000000   10.000000    8.800000  -150.04023957
   1   2  25    1.000000   10.000000    9.500000  -150.04025723
   1   2  26    1.000000   10.000000   11.000000  -150.04029723
   1   2  27    1.000000   10.000000   12.500000  -150.04029687
   1   2  28    1.000000   10.000000   14.000000  -149.97589550
   1   2  29    1.000000   10.000000   16.000000  -150.04032511
   1   2  30    1.000000   10.000000   20.000000  -150.04032509
   0   0   0    0.000000    0.000000    0.000000     0.00000000
   1   3   1    1.000000   20.000000    1.400000  -100.00000000
   1   3   2    1.000000   20.000000    1.650000  -100.00000000
   1   3   3    1.000000   20.000000    1.900000  -148.96282548
   1   3   4    1.000000   20.000000    2.100000  -149.42231165
